pct_ingreso;edad;estado_credito_N;antiguedad_empleado;importe_solicitado;duracion_credito;situacion_vivienda;ingresos;objetivo_credito;tasa_interes;estado_credito;falta_pago
40_a_60;menor_25;C;NA;35000;3;ALQUILER;59000;PERSONAL;16.02;1;Y
hasta_20;menor_25;P;5_a_10;1000;2;PROPIA;9600;EDUCACIÓN;11.14;0;N
40_a_60;25_a_30;C;menor_5;5500;3;HIPOTECA;9600;SALUD;12.87;1;N
40_a_60;menor_25;C;5_a_10;35000;2;ALQUILER;65500;SALUD;15.23;1;N
40_a_60;menor_25;C;5_a_10;35000;4;ALQUILER;54400;SALUD;14.27;1;Y
20_a_40;menor_25;C;menor_5;2500;2;PROPIA;9900;INVERSIONES;7.14;1;N
40_a_60;25_a_30;C;5_a_10;35000;3;ALQUILER;77100;EDUCACIÓN;12.42;1;N
40_a_60;menor_25;C;5_a_10;35000;4;ALQUILER;78956;SALUD;11.11;1;N
40_a_60;menor_25;C;5_a_10;35000;2;ALQUILER;83000;PERSONAL;8.9;1;N
hasta_20;menor_25;C;5_a_10;1600;3;PROPIA;10000;INVERSIONES;14.74;1;N
40_a_60;menor_25;C;5_a_10;35000;4;ALQUILER;85000;INVERSIONES;10.37;1;N
40_a_60;menor_25;C;menor_5;4500;2;PROPIA;10000;MEJORAS_HOGAR;8.63;1;N
20_a_40;menor_25;C;menor_5;35000;2;ALQUILER;95000;INVERSIONES;7.9;1;N
20_a_40;25_a_30;C;5_a_10;35000;4;ALQUILER;108160;EDUCACIÓN;18.39;1;N
20_a_40;menor_25;P;menor_5;35000;4;ALQUILER;115000;EDUCACIÓN;7.9;0;N
hasta_20;menor_25;P;5_a_10;30000;3;HIPOTECA;500000;PAGO_DEUDAS;10.65;0;N
20_a_40;menor_25;P;menor_5;35000;4;ALQUILER;120000;EDUCACIÓN;7.9;0;N
20_a_40;menor_25;C;5_a_10;35000;4;ALQUILER;92111;SALUD;20.25;1;N
20_a_40;menor_25;C;5_a_10;35000;4;ALQUILER;113000;PAGO_DEUDAS;18.25;1;N
hasta_20;menor_25;C;5_a_10;1750;2;HIPOTECA;10800;EDUCACIÓN;10.99;1;N
20_a_40;25_a_30;P;menor_5;35000;4;ALQUILER;162500;INVERSIONES;7.49;0;N
20_a_40;25_a_30;P;5_a_10;34800;2;ALQUILER;137000;PERSONAL;16.77;0;Y
40_a_60;menor_25;C;5_a_10;34000;4;ALQUILER;65000;EDUCACIÓN;17.58;1;N
hasta_20;menor_25;P;menor_5;1500;3;PROPIA;10980;PERSONAL;7.29;0;N
40_a_60;menor_25;C;menor_5;33950;4;ALQUILER;80000;PERSONAL;14.54;1;Y
40_a_60;menor_25;C;5_a_10;33000;3;ALQUILER;67746;MEJORAS_HOGAR;12.68;1;N
40_a_60;menor_25;C;menor_5;4575;3;HIPOTECA;11000;INVERSIONES;17.74;1;Y
hasta_20;menor_25;P;menor_5;1400;3;PROPIA;11000;PERSONAL;9.32;0;N
40_a_60;menor_25;C;5_a_10;32500;3;ALQUILER;65000;MEJORAS_HOGAR;9.99;1;N
20_a_40;menor_25;C;5_a_10;4000;2;OTROS;11389;EDUCACIÓN;12.84;1;Y
hasta_20;menor_25;C;5_a_10;2000;3;PROPIA;11520;SALUD;11.12;1;N
20_a_40;25_a_30;P;menor_5;32000;2;ALQUILER;120000;INVERSIONES;6.62;0;N
20_a_40;25_a_30;C;5_a_10;31050;3;ALQUILER;95000;MEJORAS_HOGAR;14.17;1;Y
hasta_20;25_a_30;P;menor_5;24250;3;ALQUILER;306000;PAGO_DEUDAS;13.85;0;N
hasta_20;25_a_30;P;mayor_10;7800;4;HIPOTECA;300000;SALUD;13.49;0;N
20_a_40;menor_25;C;5_a_10;2500;4;PROPIA;12000;EDUCACIÓN;7.51;1;N
mayor_60;menor_25;C;menor_5;30000;2;ALQUILER;48000;EDUCACIÓN;18.39;1;N
40_a_60;menor_25;C;5_a_10;30000;3;ALQUILER;64000;PAGO_DEUDAS;14.54;1;Y
40_a_60;25_a_30;C;5_a_10;30000;4;ALQUILER;75000;MEJORAS_HOGAR;16.89;1;Y
40_a_60;menor_25;C;menor_5;30000;4;ALQUILER;71500;PAGO_DEUDAS;;1;N
40_a_60;25_a_30;C;5_a_10;30000;2;ALQUILER;62050;SALUD;17.99;1;N
20_a_40;menor_25;C;5_a_10;2500;3;PROPIA;12000;INVERSIONES;12.69;1;N
hasta_20;25_a_30;P;mayor_10;20000;4;HIPOTECA;300000;INVERSIONES;7.88;0;N
hasta_20;menor_25;P;menor_5;24250;2;PROPIA;300000;EDUCACIÓN;19.41;0;Y
hasta_20;25_a_30;P;5_a_10;10000;4;PROPIA;300000;MEJORAS_HOGAR;10.38;0;N
hasta_20;25_a_30;P;menor_5;25000;3;HIPOTECA;300000;EDUCACIÓN;15.33;0;N
hasta_20;25_a_30;P;5_a_10;18000;3;HIPOTECA;300000;MEJORAS_HOGAR;16.45;0;N
20_a_40;25_a_30;C;5_a_10;30000;3;ALQUILER;80690;PERSONAL;7.49;1;N
20_a_40;menor_25;C;5_a_10;30000;3;ALQUILER;66300;SALUD;12.69;1;N
20_a_40;25_a_30;C;menor_5;30000;3;ALQUILER;89028;PAGO_DEUDAS;6.62;1;N
20_a_40;menor_25;C;5_a_10;30000;4;ALQUILER;78000;PAGO_DEUDAS;;1;Y
20_a_40;menor_25;C;5_a_10;30000;3;ALQUILER;78000;PAGO_DEUDAS;18.62;1;Y
20_a_40;menor_25;C;5_a_10;30000;3;ALQUILER;92004;PERSONAL;15.23;1;Y
20_a_40;menor_25;C;5_a_10;30000;2;ALQUILER;97000;INVERSIONES;10.65;1;N
20_a_40;25_a_30;P;5_a_10;30000;4;ALQUILER;120000;EDUCACIÓN;7.9;0;N
hasta_20;25_a_30;P;5_a_10;10000;3;ALQUILER;280000;PERSONAL;15.96;0;Y
hasta_20;25_a_30;P;menor_5;20000;3;ALQUILER;277104;INVERSIONES;11.48;0;N
hasta_20;menor_25;P;menor_5;35000;4;PROPIA;277000;PERSONAL;;0;N
20_a_40;25_a_30;P;5_a_10;30000;4;ALQUILER;128000;PERSONAL;7.29;0;N
hasta_20;menor_25;P;menor_5;1750;3;PROPIA;12000;INVERSIONES;;0;Y
20_a_40;menor_25;P;menor_5;30000;4;ALQUILER;131000;INVERSIONES;5.99;0;N
hasta_20;menor_25;P;5_a_10;12000;2;PROPIA;275000;INVERSIONES;11.58;0;N
hasta_20;25_a_30;C;menor_5;10000;4;HIPOTECA;263000;EDUCACIÓN;;1;N
hasta_20;25_a_30;C;5_a_10;25000;2;HIPOTECA;221850;SALUD;15.7;1;N
40_a_60;menor_25;C;5_a_10;29100;3;ALQUILER;70000;EDUCACIÓN;15.99;1;N
hasta_20;menor_25;P;5_a_10;1500;3;HIPOTECA;12000;EDUCACIÓN;14.84;0;Y
hasta_20;25_a_30;P;mayor_10;28000;3;PROPIA;260000;MEJORAS_HOGAR;10.99;0;N
hasta_20;25_a_30;P;5_a_10;20000;2;HIPOTECA;259000;MEJORAS_HOGAR;14.42;0;Y
hasta_20;menor_25;P;5_a_10;9600;2;HIPOTECA;255000;EDUCACIÓN;6.99;0;N
hasta_20;25_a_30;P;menor_5;25000;4;ALQUILER;250000;SALUD;13.49;0;N
20_a_40;25_a_30;C;menor_5;3000;3;PROPIA;12000;SALUD;;1;N
40_a_60;menor_25;C;5_a_10;28000;2;ALQUILER;56950;SALUD;;1;N
20_a_40;menor_25;C;5_a_10;3000;3;PROPIA;12000;EDUCACIÓN;13.61;1;Y
40_a_60;menor_25;C;menor_5;28000;2;ALQUILER;65000;EDUCACIÓN;7.9;1;N
20_a_40;25_a_30;C;menor_5;28000;3;ALQUILER;85000;INVERSIONES;7.49;1;N
40_a_60;25_a_30;C;menor_5;6100;3;PROPIA;12000;EDUCACIÓN;7.51;1;N
20_a_40;menor_25;C;5_a_10;28000;3;ALQUILER;88000;INVERSIONES;9.91;1;N
20_a_40;menor_25;C;menor_5;4200;4;PROPIA;12000;PERSONAL;13.48;1;Y
40_a_60;menor_25;C;5_a_10;4750;2;PROPIA;12000;PAGO_DEUDAS;7.14;1;N
20_a_40;menor_25;C;menor_5;28000;4;ALQUILER;83004;INVERSIONES;15.99;1;Y
hasta_20;menor_25;P;menor_5;18000;3;ALQUILER;250000;EDUCACIÓN;12.98;0;Y
20_a_40;25_a_30;P;5_a_10;28000;3;ALQUILER;100000;PAGO_DEUDAS;12.69;0;N
20_a_40;25_a_30;P;mayor_10;28000;2;ALQUILER;110000;EDUCACIÓN;8.9;0;N
20_a_40;25_a_30;C;menor_5;2700;4;PROPIA;12000;PAGO_DEUDAS;;1;N
20_a_40;menor_25;C;5_a_10;28000;4;ALQUILER;108000;EDUCACIÓN;;1;N
hasta_20;menor_25;P;5_a_10;28000;2;ALQUILER;151200;PAGO_DEUDAS;11.11;0;N
40_a_60;menor_25;C;menor_5;27600;2;ALQUILER;69000;MEJORAS_HOGAR;;1;N
20_a_40;menor_25;C;5_a_10;3250;3;HIPOTECA;12000;PAGO_DEUDAS;15.68;1;Y
20_a_40;menor_25;C;5_a_10;27500;3;ALQUILER;70000;EDUCACIÓN;13.06;1;Y
hasta_20;menor_25;P;5_a_10;25000;2;PROPIA;240000;PERSONAL;;0;N
20_a_40;25_a_30;C;5_a_10;27050;2;ALQUILER;73200;INVERSIONES;15.62;1;Y
20_a_40;menor_25;C;5_a_10;27000;2;ALQUILER;83000;PERSONAL;13.49;1;Y
20_a_40;menor_25;C;menor_5;27000;3;ALQUILER;73399;INVERSIONES;;1;N
40_a_60;menor_25;C;5_a_10;26000;2;ALQUILER;62500;SALUD;11.71;1;N
20_a_40;menor_25;P;menor_5;25600;3;ALQUILER;120000;EDUCACIÓN;12.69;0;N
hasta_20;menor_25;P;menor_5;1600;3;PROPIA;12360;SALUD;13.57;0;N
40_a_60;menor_25;C;menor_5;25475;3;ALQUILER;60000;INVERSIONES;10.99;1;N
hasta_20;25_a_30;P;menor_5;20000;4;HIPOTECA;234000;SALUD;14.27;0;Y
hasta_20;menor_25;P;5_a_10;20000;4;PROPIA;234000;MEJORAS_HOGAR;8.88;0;N
hasta_20;25_a_30;P;mayor_10;21600;3;HIPOTECA;234000;MEJORAS_HOGAR;12.18;0;N
hasta_20;25_a_30;C;5_a_10;11900;3;HIPOTECA;221004;PAGO_DEUDAS;14.42;1;Y
hasta_20;25_a_30;P;menor_5;25000;2;HIPOTECA;232500;SALUD;14.17;0;Y
hasta_20;25_a_30;P;5_a_10;35000;4;HIPOTECA;230000;SALUD;13.99;0;N
20_a_40;menor_25;C;5_a_10;25300;3;ALQUILER;83000;EDUCACIÓN;10.99;1;N
hasta_20;menor_25;C;NA;2000;4;HIPOTECA;12600;PERSONAL;5.42;1;N
hasta_20;25_a_30;P;menor_5;1750;3;PROPIA;12600;PERSONAL;13.61;0;N
40_a_60;menor_25;C;menor_5;25000;3;ALQUILER;42500;EDUCACIÓN;12.73;1;Y
mayor_60;menor_25;C;menor_5;25000;3;ALQUILER;41000;MEJORAS_HOGAR;;1;N
20_a_40;25_a_30;C;menor_5;3000;4;PROPIA;12816;PAGO_DEUDAS;12.87;1;Y
20_a_40;menor_25;C;menor_5;3650;3;HIPOTECA;12960;MEJORAS_HOGAR;9.91;1;N
hasta_20;25_a_30;P;5_a_10;20000;4;HIPOTECA;226000;MEJORAS_HOGAR;11.49;0;N
hasta_20;25_a_30;P;menor_5;30000;2;HIPOTECA;225000;MEJORAS_HOGAR;19.91;0;Y
